N,P,K,temperature,humidity,ph,rainfall,label,yield
91.0,43.2,47.2,30.5,72.4,6.96,264.2,rice,4.96
78.0,41.1,48.5,29.7,90.6,6.17,184.1,rice,4.27
93.1,48.9,45.2,25.3,94.3,6.84,266.8,rice,3.55
61.8,34.6,43.7,31.2,94.2,5.99,205.6,rice,4.32
65.2,44.3,34.5,30.0,80.9,6.75,255.0,rice,3.7
92.2,41.6,35.8,30.2,73.5,5.8,151.1,rice,5.05
88.2,53.4,39.2,28.5,73.5,5.67,250.3,rice,3.97
90.6,49.0,41.1,28.4,77.6,5.55,215.5,rice,3.51
94.1,37.0,31.2,24.2,77.3,6.49,233.6,rice,5.04
76.3,54.4,33.3,20.3,72.3,6.58,219.3,rice,3.4
66.1,50.9,38.9,25.7,77.5,6.45,204.3,rice,3.05
98.5,57.3,44.0,24.0,94.2,6.67,257.5,rice,4.1
63.9,57.1,39.1,23.0,77.6,6.37,176.5,rice,5.15
88.8,43.0,42.5,28.8,86.2,5.63,212.4,rice,3.27
73.2,34.3,32.1,28.8,74.3,6.89,237.2,rice,3.95
60.9,58.8,39.6,31.7,72.1,6.23,223.6,rice,5.22
78.9,38.0,36.6,27.8,81.0,5.53,273.9,rice,5.22
82.2,33.3,43.4,24.2,86.5,6.59,265.3,rice,3.21
69.2,31.1,41.1,25.6,90.7,6.71,197.6,rice,5.43
80.6,37.7,48.7,22.5,71.1,6.15,298.9,rice,5.43
95.6,56.8,40.4,24.7,89.3,6.49,206.0,rice,3.43
70.5,58.1,34.8,21.8,90.8,5.73,176.9,rice,4.36
72.4,53.3,49.4,27.5,73.6,5.52,184.4,rice,3.41
64.9,45.2,43.9,28.7,75.0,6.71,257.3,rice,4.85
65.0,57.8,38.0,24.5,82.2,6.49,293.3,rice,3.63
61.0,46.7,42.7,21.6,73.5,6.13,294.9,rice,4.38
92.2,44.0,45.7,20.3,72.7,6.74,269.5,rice,3.56
84.2,56.0,42.1,26.2,79.4,6.14,247.8,rice,4.99
69.9,37.1,44.9,32.2,72.6,5.6,239.2,rice,3.58
72.4,34.3,48.4,22.5,77.1,5.73,167.3,rice,3.02
67.0,31.6,41.8,30.2,79.8,5.98,225.7,rice,5.1
61.7,35.4,34.7,23.7,84.3,6.12,157.4,rice,3.97
64.1,55.0,31.0,33.9,72.5,6.77,285.4,rice,5.39
91.2,49.3,45.6,22.0,83.4,6.27,278.6,rice,4.13
85.6,38.0,32.8,27.2,80.4,5.85,205.1,rice,3.87
75.2,50.6,35.9,34.2,92.9,6.22,199.3,rice,4.56
86.1,54.1,40.7,29.5,77.2,6.6,180.4,rice,4.71
84.6,32.9,44.5,21.3,93.4,5.71,293.8,rice,5.19
91.3,53.9,48.9,23.8,84.8,5.64,242.4,rice,3.57
82.9,44.0,40.5,31.5,90.0,6.24,239.9,rice,5.4
64.7,32.6,43.2,26.3,89.4,6.51,200.0,rice,5.28
70.8,40.9,36.3,22.4,73.7,6.9,215.7,rice,4.14
82.1,58.1,45.6,27.2,79.4,6.98,257.7,rice,5.45
94.0,49.1,32.4,28.8,87.2,5.52,218.1,rice,4.91
78.3,43.3,36.0,33.8,89.5,5.67,299.6,rice,5.14
93.5,33.2,50.0,30.0,86.3,5.64,284.6,rice,2.98
65.7,53.3,34.0,33.7,86.4,5.55,150.8,rice,2.88
