district_name,N,P,K,temperature,humidity,ph,rainfall,label,yield
25,78.12,49.75,44.17,25.0,84.3,6.5,800.0,RICE,64.75
25,78.12,49.75,44.17,25.92,84.3,6.5,819.19,MAIZE,131.42
25,78.12,49.75,44.17,25.92,84.3,6.5,819.19,PIGEONPEAS,3414.29
25,34.62,39.62,21.15,17.22,84.3,6.48,800.0,MOTHBEANS,107.27
25,29.41,41.44,27.88,30.0,84.3,6.51,800.0,BLACKGRAM,100.47
25,29.41,41.44,27.88,30.0,84.3,6.51,800.0,BLACKGRAM,234.87
25,54.63,37.03,36.6,30.0,84.3,6.76,800.0,LENTIL,81.16
25,54.63,37.03,36.6,30.0,84.3,6.76,800.0,LENTIL,70.66
25,135.0,70.0,49.66,25.92,84.3,6.61,819.19,BANANA,356.36
25,135.0,70.0,49.66,25.92,84.3,6.61,819.19,BANANA,419.62
25,135.0,70.0,49.66,25.92,84.3,6.61,819.19,BANANA,249.97
25,78.12,49.75,44.17,25.92,84.3,6.5,819.19,GRAPES,25.61
25,78.12,49.75,44.17,25.92,84.3,6.5,819.19,WATERMELON,14.34
25,78.12,49.75,44.17,25.92,84.3,6.5,819.19,JUTE,28.33
25,78.12,49.75,44.17,25.92,84.3,6.5,819.19,ORANGE,84.98
25,78.12,49.75,44.17,25.92,84.3,6.5,819.19,ORANGE,22.61
25,78.12,49.75,44.17,25.92,84.3,6.5,819.19,ORANGE,82.51
25,78.12,49.75,44.17,25.92,84.3,6.5,819.19,COCONUT,38.03
25,78.12,49.75,44.17,25.92,84.3,6.5,819.19,COTTON,22.22
25,78.12,49.75,44.17,25.92,84.3,6.5,819.19,COTTON,16.28
25,78.12,49.75,44.17,25.92,84.3,6.5,819.19,COFFEE,98.81
25,78.12,49.75,44.17,25.92,84.3,6.5,819.19,WHEAT,72.29
25,78.12,49.75,44.17,25.92,84.3,6.5,819.19,JOWAR,16.28
25,92.43,47.28,48.35,37.22,84.3,6.52,800.0,BAJRA,180.86
25,78.12,49.75,44.17,25.92,84.3,6.5,819.19,GROUNDNUT,80.0
25,78.12,49.75,44.17,25.92,84.3,6.5,819.19,SOYABEAN,22.07
25,78.12,49.75,44.17,25.92,84.3,6.5,819.19,SOYABEAN,27.45
