district_name,N,P,K,temperature,ph,rainfall,label,yield
25,78.12,49.75,44.17,25.91513406,6.5,819.1890095,APPLE,0.43
25,78.12,49.75,44.17,25.91513406,6.5,819.1890095,APPLE,0.23
25,78.12,49.75,44.17,25.91513406,6.5,819.1890095,APPLE,0.2
25,92.43,47.28,48.35,37.22222222,6.52,800.0,BAJRA,180.86
25,92.43,47.28,48.35,37.22222222,6.52,800.0,BAJRA,183.26
25,92.43,47.28,48.35,37.22222222,6.52,800.0,BAJRA,238.46
25,92.43,47.28,48.35,37.22222222,6.52,800.0,BAJRA,215.7
25,92.43,47.28,48.35,37.22222222,6.52,800.0,BAJRA,196.52
25,92.43,47.28,48.35,37.22222222,6.52,800.0,BAJRA,1.66
25,92.43,47.28,48.35,37.22222222,6.52,800.0,BAJRA,165.77
25,92.43,47.28,48.35,37.22222222,6.52,800.0,BAJRA,1.87
25,92.43,47.28,48.35,37.22222222,6.52,800.0,BAJRA,186.6
25,92.43,47.28,48.35,37.22222222,6.52,800.0,BAJRA,1.37
25,92.43,47.28,48.35,37.22222222,6.52,800.0,BAJRA,136.86
25,92.43,47.28,48.35,37.22222222,6.52,800.0,BAJRA,1.38
25,92.43,47.28,48.35,37.22222222,6.52,800.0,BAJRA,138.06
25,92.43,47.28,48.35,37.22222222,6.52,800.0,BAJRA,1.18
25,92.43,47.28,48.35,37.22222222,6.52,800.0,BAJRA,118.06
25,92.43,47.28,48.35,37.22222222,6.52,800.0,BAJRA,0.82
25,92.43,47.28,48.35,37.22222222,6.52,800.0,BAJRA,81.79
25,92.43,47.28,48.35,37.22222222,6.52,800.0,BAJRA,1.23
25,92.43,47.28,48.35,37.22222222,6.52,800.0,BAJRA,123.37
25,92.43,47.28,48.35,37.22222222,6.52,800.0,BAJRA,1.25
25,92.43,47.28,48.35,37.22222222,6.52,800.0,BAJRA,124.52
25,92.43,47.28,48.35,37.22222222,6.52,800.0,BAJRA,1.08
25,92.43,47.28,48.35,37.22222222,6.52,800.0,BAJRA,107.82
25,92.43,47.28,48.35,37.22222222,6.52,800.0,BAJRA,1.14
25,92.43,47.28,48.35,37.22222222,6.52,800.0,BAJRA,114.42
25,92.43,47.28,48.35,37.22222222,6.52,800.0,BAJRA,1.26
