district,nitrogen,phosphorus,potassium,temperature,ph,rainfall,label,yield,area,season,humidity,irrigation_type,soil_type,year
25,78.12,49.75,44.17,17.25,6.5,1464.85,APPLE,0.7490576493736499,29208.38,1,65.3,4,0,0
25,78.12,49.75,44.17,20.7,6.5,1404.06,APPLE,0.7490576493736499,29208.38,1,64.88,4,0,1
25,78.12,49.75,44.17,19.39,6.5,1316.7,APPLE,0.7490576493736499,29208.38,1,79.46,4,0,2
25,92.43,47.28,48.35,33.55,6.52,316.18,BAJRA,0.062244015772315926,85512.61,1,44.65,0,0,3
25,92.43,47.28,48.35,32.04,6.52,380.6,BAJRA,0.062244015772315926,85512.61,1,38.09,0,0,4
25,92.43,47.28,48.35,29.74,6.52,334.7,BAJRA,0.062244015772315926,85512.61,1,31.37,0,0,5
25,92.43,47.28,48.35,25.98,6.52,438.99,BAJRA,0.062244015772315926,85512.61,1,45.68,0,0,6
25,92.43,47.28,48.35,29.92,6.52,369.22,BAJRA,0.062244015772315926,85512.61,1,35.72,0,0,7
25,92.43,47.28,48.35,29.73,6.52,495.12,BAJRA,0.062244015772315926,85512.61,1,38.66,0,0,8
25,92.43,47.28,48.35,26.73,6.52,428.19,BAJRA,0.062244015772315926,85512.61,1,43.71,0,0,9
25,92.43,47.28,48.35,29.34,6.52,464.5,BAJRA,0.062244015772315926,85512.61,1,36.65,0,0,10
25,92.43,47.28,48.35,28.99,6.52,326.5,BAJRA,0.062244015772315926,85512.61,1,31.13,0,0,11
25,92.43,47.28,48.35,31.16,6.52,472.4,BAJRA,0.062244015772315926,85512.61,1,37.48,0,0,12
25,92.43,47.28,48.35,31.35,6.52,484.55,BAJRA,0.062244015772315926,85512.61,1,48.89,0,0,13
25,92.43,47.28,48.35,25.45,6.52,397.41,BAJRA,0.062244015772315926,85512.61,1,42.83,0,0,0
25,92.43,47.28,48.35,28.75,6.52,421.25,BAJRA,0.062244015772315926,85512.61,1,43.43,0,0,1
25,92.43,47.28,48.35,31.26,6.52,452.96,BAJRA,0.062244015772315926,85512.61,1,42.65,0,0,2
25,92.43,47.28,48.35,30.03,6.52,334.97,BAJRA,0.062244015772315926,85512.61,1,33.98,0,0,3
25,92.43,47.28,48.35,33.56,6.52,400.51,BAJRA,0.062244015772315926,85512.61,1,38.37,0,0,4
25,92.43,47.28,48.35,31.59,6.52,379.73,BAJRA,0.062244015772315926,85512.61,1,45.02,0,0,5
25,92.43,47.28,48.35,26.63,6.52,329.27,BAJRA,0.062244015772315926,85512.61,1,32.03,0,0,6
25,92.43,47.28,48.35,25.71,6.52,373.51,BAJRA,0.062244015772315926,85512.61,1,35.56,0,0,7
25,92.43,47.28,48.35,31.42,6.52,313.63,BAJRA,0.062244015772315926,85512.61,1,35.53,0,0,8
25,92.43,47.28,48.35,25.27,6.52,305.16,BAJRA,0.062244015772315926,85512.61,1,38.64,0,0,9
25,92.43,47.28,48.35,30.86,6.52,327.03,BAJRA,0.062244015772315926,85512.61,1,49.61,0,0,10
25,92.43,47.28,48.35,34.4,6.52,492.62,BAJRA,0.062244015772315926,85512.61,1,31.35,0,0,11
25,92.43,47.28,48.35,30.75,6.52,409.91,BAJRA,0.062244015772315926,85512.61,1,40.37,0,0,12
25,92.43,47.28,48.35,28.88,6.52,493.16,BAJRA,0.062244015772315926,85512.61,1,33.59,0,0,13
25,92.43,47.28,48.35,31.43,6.52,386.5,BAJRA,0.062244015772315926,85512.61,1,49.41,0,0,0
25,92.43,47.28,48.35,29.58,6.52,362.36,BAJRA,0.062244015772315926,85512.61,1,32.27,0,0,1
25,92.43,47.28,48.35,30.46,6.52,401.23,BAJRA,0.062244015772315926,85512.61,1,38.07,0,0,2
25,92.43,47.28,48.35,34.41,6.52,387.9,BAJRA,0.062244015772315926,85512.61,1,44.76,0,0,3
25,92.43,47.28,48.35,28.86,6.52,321.13,BAJRA,0.062244015772315926,85512.61,1,44.09,0,0,4
25,92.43,47.28,48.35,34.61,6.52,428.17,BAJRA,0.062244015772315926,85512.61,1,38.45,0,0,5
25,92.43,47.28,48.35,34.05,6.52,343.21,BAJRA,0.062244015772315926,85512.61,1,36.93,0,0,6
25,92.43,47.28,48.35,26.96,6.52,423.92,BAJRA,0.062244015772315926,85512.61,1,37.95,0,0,7
25,92.43,47.28,48.35,25.69,6.52,430.04,BAJRA,0.062244015772315926,85512.61,1,35.29,0,0,8
25,92.43,47.28,48.35,26.01,6.52,330.4,BAJRA,0.062244015772315926,85512.61,1,34.11,0,0,9
25,92.43,47.28,48.35,25.18,6.52,312.27,BAJRA,0.062244015772315926,85512.61,1,39.66,0,0,10
25,92.43,47.28,48.35,25.94,6.52,456.15,BAJRA,0.062244015772315926,85512.61,1,35.37,0,0,11
25,92.43,47.28,48.35,31.83,6.52,391.96,BAJRA,0.062244015772315926,85512.61,1,35.75,0,0,12
25,92.43,47.28,48.35,25.71,6.52,311.63,BAJRA,0.062244015772315926,85512.61,1,43.14,0,0,13
25,92.43,47.28,48.35,28.19,6.52,498.97,BAJRA,0.062244015772315926,85512.61,1,49.37,0,0,0
25,135.0,70.0,49.66,26.88,6.61,2000.0,BANANA,2.1590934037524114,900.0,4,85.51,2,0,1
25,135.0,70.0,49.66,28.5,6.61,2000.0,BANANA,2.1590934037524114,900.0,4,81.41,2,0,2
25,135.0,70.0,49.66,28.29,6.61,1779.77,BANANA,2.1590934037524114,900.0,4,85.21,2,0,3
25,135.0,70.0,49.66,26.74,6.61,2000.0,BANANA,2.1590934037524114,900.0,4,73.0,2,0,4
25,135.0,70.0,49.66,26.24,6.61,1588.14,BANANA,2.1590934037524114,900.0,4,81.44,2,0,5
25,135.0,70.0,49.66,28.42,6.61,1913.67,BANANA,2.1590934037524114,900.0,4,75.07,2,0,6
25,135.0,70.0,49.66,29.05,6.61,2000.0,BANANA,2.1590934037524114,900.0,4,74.56,2,0,7
25,135.0,70.0,49.66,28.09,6.61,2000.0,BANANA,2.1590934037524114,900.0,4,70.23,2,0,8
25,135.0,70.0,49.66,26.91,6.61,2000.0,BANANA,2.1590934037524114,900.0,4,72.61,2,0,9
25,135.0,70.0,49.66,28.67,6.61,1777.89,BANANA,2.1590934037524114,900.0,4,76.19,2,0,10
25,135.0,70.0,49.66,26.32,6.61,1998.19,BANANA,2.1590934037524114,900.0,4,72.34,2,0,11
25,135.0,70.0,49.66,27.77,6.61,1829.53,BANANA,2.1590934037524114,900.0,4,89.72,2,0,12
25,135.0,70.0,49.66,26.65,6.61,1940.6,BANANA,2.1590934037524114,900.0,4,76.17,2,0,13
25,135.0,70.0,49.66,26.74,6.61,2000.0,BANANA,2.1590934037524114,900.0,4,72.61,2,0,0
25,135.0,70.0,49.66,26.81,6.61,2000.0,BANANA,2.1590934037524114,900.0,4,73.98,2,0,1
25,135.0,70.0,49.66,27.55,6.61,2000.0,BANANA,2.1590934037524114,900.0,4,81.75,2,0,2
25,135.0,70.0,49.66,26.2,6.61,1703.51,BANANA,2.1590934037524114,900.0,4,71.28,2,0,3
25,135.0,70.0,49.66,27.59,6.61,2000.0,BANANA,2.1590934037524114,900.0,4,87.25,2,0,4
25,135.0,70.0,49.66,28.05,6.61,1559.76,BANANA,2.1590934037524114,900.0,4,89.23,2,0,5
25,135.0,70.0,49.66,27.93,6.61,2000.0,BANANA,2.1590934037524114,900.0,4,74.93,2,0,6
25,135.0,70.0,49.66,27.53,6.61,1829.07,BANANA,2.1590934037524114,900.0,4,79.0,2,0,7
25,135.0,70.0,49.66,29.36,6.61,1814.59,BANANA,2.1590934037524114,900.0,4,70.44,2,0,8
25,135.0,70.0,49.66,26.58,6.61,2000.0,BANANA,2.1590934037524114,900.0,4,82.81,2,0,9
25,135.0,70.0,49.66,28.02,6.61,2000.0,BANANA,2.1590934037524114,900.0,4,78.28,2,0,10
25,135.0,70.0,49.66,26.25,6.61,1547.78,BANANA,2.1590934037524114,900.0,4,75.4,2,0,11
25,135.0,70.0,49.66,26.28,6.61,1852.23,BANANA,2.1590934037524114,900.0,4,74.14,2,0,12
25,135.0,70.0,49.66,28.3,6.61,2000.0,BANANA,2.1590934037524114,900.0,4,83.08,2,0,13
25,135.0,70.0,49.66,28.26,6.61,1896.05,BANANA,2.1590934037524114,900.0,4,78.32,2,0,0
25,135.0,70.0,49.66,29.51,6.61,1699.16,BANANA,2.1590934037524114,900.0,4,73.59,2,0,1
25,135.0,70.0,49.66,28.23,6.61,1924.79,BANANA,2.1590934037524114,900.0,4,83.78,2,0,2
25,135.0,70.0,49.66,29.84,6.61,1885.55,BANANA,2.1590934037524114,900.0,4,81.3,2,0,3
25,135.0,70.0,49.66,26.19,6.61,2000.0,BANANA,2.1590934037524114,900.0,4,87.17,2,0,4
25,135.0,70.0,49.66,26.39,6.61,2000.0,BANANA,2.1590934037524114,900.0,4,72.35,2,0,5
25,135.0,70.0,49.66,26.18,6.61,2000.0,BANANA,2.1590934037524114,900.0,4,85.71,2,0,6
25,135.0,70.0,49.66,26.74,6.61,2000.0,BANANA,2.1590934037524114,900.0,4,83.47,2,0,7
25,135.0,70.0,49.66,28.17,6.61,1965.28,BANANA,2.1590934037524114,900.0,4,72.3,2,0,8
25,135.0,70.0,49.66,28.58,6.61,1558.24,BANANA,2.1590934037524114,900.0,4,83.9,2,0,9
25,135.0,70.0,49.66,26.18,6.61,1762.27,BANANA,2.1590934037524114,900.0,4,78.83,2,0,10
25,135.0,70.0,49.66,29.78,6.61,1936.07,BANANA,2.1590934037524114,900.0,4,88.9,2,0,11
25,135.0,70.0,49.66,29.37,6.61,1656.9,BANANA,2.1590934037524114,900.0,4,72.83,2,0,12
25,135.0,70.0,49.66,27.19,6.61,2000.0,BANANA,2.1590934037524114,900.0,4,82.86,2,0,13
25,135.0,70.0,49.66,26.31,6.61,2000.0,BANANA,2.1590934037524114,900.0,4,77.64,2,0,0
25,135.0,70.0,49.66,26.68,6.61,1768.29,BANANA,2.1590934037524114,900.0,4,89.14,2,0,1
25,135.0,70.0,49.66,26.51,6.61,2000.0,BANANA,2.1590934037524114,900.0,4,76.6,2,0,2
25,135.0,70.0,49.66,26.49,6.61,2000.0,BANANA,2.1590934037524114,900.0,4,89.24,2,0,3
25,135.0,70.0,49.66,28.07,6.61,2000.0,BANANA,2.1590934037524114,900.0,4,88.03,2,0,4
25,135.0,70.0,49.66,26.98,6.61,2000.0,BANANA,2.1590934037524114,900.0,4,75.41,2,0,5
25,135.0,70.0,49.66,27.43,6.61,2000.0,BANANA,2.1590934037524114,900.0,4,86.07,2,0,6
25,135.0,70.0,49.66,29.96,6.61,2000.0,BANANA,2.1590934037524114,900.0,4,89.91,2,0,7
25,135.0,70.0,49.66,28.74,6.61,2000.0,BANANA,2.1590934037524114,900.0,4,75.05,2,0,8
25,135.0,70.0,49.66,29.8,6.61,2000.0,BANANA,2.1590934037524114,900.0,4,78.74,2,0,9
25,135.0,70.0,49.66,26.57,6.61,1614.74,BANANA,2.1590934037524114,900.0,4,80.4,2,0,10
25,135.0,70.0,49.66,27.53,6.61,1626.14,BANANA,2.1590934037524114,900.0,4,75.9,2,0,11
25,135.0,70.0,49.66,28.22,6.61,2000.0,BANANA,2.1590934037524114,900.0,4,70.31,2,0,12
25,135.0,70.0,49.66,26.31,6.61,1768.86,BANANA,2.1590934037524114,900.0,4,74.4,2,0,13
25,135.0,70.0,49.66,26.02,6.61,1521.04,BANANA,2.1590934037524114,900.0,4,75.64,2,0,0
25,135.0,70.0,49.66,28.68,6.61,2000.0,BANANA,2.1590934037524114,900.0,4,78.87,2,0,1
25,135.0,70.0,49.66,28.57,6.61,1532.49,BANANA,2.1590934037524114,900.0,4,73.42,2,0,2
25,135.0,70.0,49.66,27.64,6.61,2000.0,BANANA,2.1590934037524114,900.0,4,87.47,2,0,3
25,135.0,70.0,49.66,27.96,6.61,2000.0,BANANA,2.1590934037524114,900.0,4,84.1,2,0,4
25,135.0,70.0,49.66,27.66,6.61,2000.0,BANANA,2.1590934037524114,900.0,4,71.7,2,0,5
25,135.0,70.0,49.66,26.1,6.61,1984.21,BANANA,2.1590934037524114,900.0,4,83.0,2,0,6
25,135.0,70.0,49.66,27.34,6.61,1563.6,BANANA,2.1590934037524114,900.0,4,83.07,2,0,7
25,135.0,70.0,49.66,26.71,6.61,2000.0,BANANA,2.1590934037524114,900.0,4,89.12,2,0,8
25,135.0,70.0,49.66,26.39,6.61,2000.0,BANANA,2.1590934037524114,900.0,4,70.06,2,0,9
25,135.0,70.0,49.66,29.83,6.61,2000.0,BANANA,2.1590934037524114,900.0,4,74.96,2,0,10
25,135.0,70.0,49.66,28.4,6.61,1930.34,BANANA,2.1590934037524114,900.0,4,88.56,2,0,11
25,135.0,70.0,49.66,28.91,6.61,1820.3,BANANA,2.1590934037524114,900.0,4,88.64,2,0,12
25,135.0,70.0,49.66,27.26,6.61,2000.0,BANANA,2.1590934037524114,900.0,4,84.41,2,0,13
25,135.0,70.0,49.66,27.57,6.61,1691.24,BANANA,2.1590934037524114,900.0,4,85.32,2,0,0
25,135.0,70.0,49.66,26.95,6.61,2000.0,BANANA,2.1590934037524114,900.0,4,71.83,2,0,1
25,135.0,70.0,49.66,26.39,6.61,1905.71,BANANA,2.1590934037524114,900.0,4,80.28,2,0,2
25,135.0,70.0,49.66,26.72,6.61,1541.08,BANANA,2.1590934037524114,900.0,4,74.63,2,0,3
25,135.0,70.0,49.66,29.19,6.61,1847.29,BANANA,2.1590934037524114,900.0,4,73.62,2,0,4
25,135.0,70.0,49.66,28.71,6.61,1765.23,BANANA,2.1590934037524114,900.0,4,86.21,2,0,5
25,135.0,70.0,49.66,28.19,6.61,2000.0,BANANA,2.1590934037524114,900.0,4,72.7,2,0,6
25,135.0,70.0,49.66,27.9,6.61,2000.0,BANANA,2.1590934037524114,900.0,4,79.37,2,0,7
25,135.0,70.0,49.66,29.69,6.61,1768.05,BANANA,2.1590934037524114,900.0,4,88.77,2,0,8
25,135.0,70.0,49.66,26.29,6.61,2000.0,BANANA,2.1590934037524114,900.0,4,73.72,2,0,9
25,135.0,70.0,49.66,27.12,6.61,1555.36,BANANA,2.1590934037524114,900.0,4,89.56,2,0,10
25,135.0,70.0,49.66,27.4,6.61,2000.0,BANANA,2.1590934037524114,900.0,4,89.89,2,0,11
25,135.0,70.0,49.66,29.13,6.61,1570.55,BANANA,2.1590934037524114,900.0,4,81.11,2,0,12
25,135.0,70.0,49.66,29.97,6.61,2000.0,BANANA,2.1590934037524114,900.0,4,73.4,2,0,13
25,135.0,70.0,49.66,26.96,6.61,2000.0,BANANA,2.1590934037524114,900.0,4,76.32,2,0,0
25,135.0,70.0,49.66,29.5,6.61,2000.0,BANANA,2.1590934037524114,900.0,4,78.49,2,0,1
25,135.0,70.0,49.66,29.32,6.61,2000.0,BANANA,2.1590934037524114,900.0,4,76.19,2,0,2
25,135.0,70.0,49.66,26.9,6.61,2000.0,BANANA,2.1590934037524114,900.0,4,75.61,2,0,3
25,135.0,70.0,49.66,27.6,6.61,2000.0,BANANA,2.1590934037524114,900.0,4,89.44,2,0,4
25,135.0,70.0,49.66,27.64,6.61,2000.0,BANANA,2.1590934037524114,900.0,4,73.07,2,0,5
25,135.0,70.0,49.66,29.91,6.61,2000.0,BANANA,2.1590934037524114,900.0,4,84.67,2,0,6
25,135.0,70.0,49.66,26.72,6.61,2000.0,BANANA,2.1590934037524114,900.0,4,70.01,2,0,7
25,135.0,70.0,49.66,29.2,6.61,1617.06,BANANA,2.1590934037524114,900.0,4,81.92,2,0,8
25,135.0,70.0,49.66,27.34,6.61,2000.0,BANANA,2.1590934037524114,900.0,4,88.32,2,0,9
25,135.0,70.0,49.66,28.92,6.61,1626.87,BANANA,2.1590934037524114,900.0,4,75.76,2,0,10
25,135.0,70.0,49.66,27.68,6.61,2000.0,BANANA,2.1590934037524114,900.0,4,73.71,2,0,11
25,135.0,70.0,49.66,28.31,6.61,1982.49,BANANA,2.1590934037524114,900.0,4,83.03,2,0,12
