district,nitrogen,phosphorus,potassium,temperature,ph,rainfall,label,yield,area,season,humidity,irrigation_type,soil_type,year_actual
23,112.92,69.65,46.11,23.57,6.31,488.34,WHEAT,0.01,47736.05,1,64.45,0,0,2015
31,24.71,64.4,53.11,24.18,6.12,666.37,GROUNDNUT,0.011081,22335.98,3,58.22,0,4,2016
22,132.42,82.67,67.68,29.27,6.3,1043.01,BANANA,0.474578,37252.1,1,78.08,3,0,2013
30,34.84,66.71,52.16,26.04,6.02,879.79,SOYABEAN,0.037615,17339.85,3,63.12,0,4,2021
8,92.61,44.52,40.28,36.37,6.2,539.65,BAJRA,0.01,11422.35,4,35.12,0,0,2014
30,107.01,78.24,83.82,17.38,5.59,580.92,POTATO,0.154968,34354.58,1,62.06,3,2,2010
8,95.57,41.4,42.59,31.93,6.88,567.81,BAJRA,0.040506,29723.26,2,33.0,0,0,2017
6,29.48,57.6,61.3,25.72,6.81,928.88,GROUNDNUT,0.02022,40765.64,2,52.53,0,4,2022
28,102.36,75.28,99.79,17.96,6.3,981.48,POTATO,0.190203,40974.0,1,68.95,2,1,2019
33,115.03,73.99,97.83,15.62,6.11,489.98,POTATO,0.01556,25041.96,1,76.97,0,0,2022
6,102.86,66.31,81.9,32.54,7.41,690.83,GRAPES,0.01,1399.99,2,67.06,2,4,2019
4,127.76,63.41,77.32,28.85,6.35,1335.26,TURMERIC,0.151026,11752.67,3,72.69,2,0,2017
16,125.53,68.46,85.84,17.1,6.13,781.61,POTATO,0.145869,40488.88,3,72.43,2,1,2015
17,20.37,54.33,49.12,29.77,6.31,481.54,GROUNDNUT,0.03228,48931.91,2,59.04,1,4,2015
31,111.38,63.22,54.92,11.27,6.39,881.89,WHEAT,0.030691,25576.75,4,58.31,0,0,2010
2,107.08,51.78,64.85,22.25,7.07,542.25,ONION,0.219893,24431.33,4,73.09,1,1,2021
35,112.89,63.12,68.72,20.75,6.77,945.69,COTTON,0.07459,41599.38,1,70.72,1,0,2021
14,36.6,79.76,49.9,21.44,6.07,1039.56,SOYABEAN,0.022592,42302.89,2,62.56,0,4,2011
4,132.43,57.62,55.04,30.01,7.15,591.9,MAIZE,0.01,1099.9,3,60.02,3,2,2011
9,109.26,53.46,66.64,26.06,6.64,315.06,ONION,0.166844,41624.02,3,61.27,1,1,2010
4,23.47,58.0,43.04,23.85,6.71,403.23,LENTIL,0.08169,32493.84,1,41.6,0,4,2019
23,83.18,45.31,46.29,31.52,7.46,201.58,BAJRA,0.024251,33324.96,3,41.51,0,0,2012
31,131.28,67.51,84.01,28.37,7.2,1999.65,SUGARCANE,1.644497,32472.51,4,71.21,1,0,2010
21,109.75,68.28,50.91,24.55,6.48,1112.41,MAIZE,0.117922,31617.77,3,56.07,3,0,2013
30,126.19,69.94,45.14,25.0,7.26,802.9,WHEAT,0.032048,11517.57,4,44.67,2,1,2012
31,105.07,58.1,65.57,22.63,7.36,485.77,ONION,0.172737,22628.8,4,60.91,2,1,2015
9,29.58,46.11,34.97,23.26,7.62,501.4,GRAM,0.026795,4992.01,3,63.98,1,4,2014
2,101.83,60.13,71.9,18.57,6.29,883.54,GRAPES,0.02189,40955.63,1,47.34,3,4,2010
10,29.68,52.48,43.65,25.09,7.33,647.54,BLACKGRAM,0.01,18616.06,3,59.21,0,3,2018
10,28.62,51.24,47.56,25.32,6.38,646.82,GRAM,0.01,30849.82,4,61.59,1,3,2022
7,132.06,63.43,62.94,24.51,6.84,1172.73,COTTON,0.190489,47957.77,2,56.46,4,0,2014
31,132.23,61.25,78.7,32.82,7.46,1908.21,SUGARCANE,0.397984,26723.08,3,83.25,2,3,2017
10,22.94,47.61,25.72,33.87,6.54,415.74,MOTHBEANS,0.01,39295.18,2,63.76,0,0,2016
17,100.56,56.7,48.72,16.31,6.76,539.74,WHEAT,0.071691,38178.85,2,53.98,1,1,2017
2,146.68,65.6,61.24,28.19,6.19,1506.12,TURMERIC,0.147521,49790.61,1,81.16,2,1,2012
31,156.41,84.29,70.78,28.25,6.3,1980.01,BANANA,1.398338,5666.47,4,87.47,4,1,2011
35,104.26,53.11,54.63,34.63,7.27,978.0,COTTON,0.066707,20467.99,4,57.6,2,0,2023
17,20.03,44.16,34.99,19.86,7.62,668.18,GRAM,0.01,15587.57,2,64.88,0,4,2022
35,116.17,66.72,94.22,23.81,5.56,912.4,POTATO,0.059384,34449.62,3,57.62,0,1,2017
6,30.47,54.67,57.8,30.8,6.14,439.91,GROUNDNUT,0.01,14902.17,1,61.98,1,4,2015
4,112.54,55.24,53.62,19.57,6.84,725.4,MAIZE,0.041438,46497.72,3,46.46,0,1,2019
