district_name,N,P,K,temperature,ph,rainfall,label,yield,NPK_total,recommended_crop,expected_yield,log_yield,log_expected_yield
26,78.12,49.75,44.17,25.91513406,6.5,819.1890095,APPLE,0.41,172.04000000000002,BAJRA,0.37,0.3435897043900769,0.31481073984003355
30,78.12,49.75,44.17,25.91513406,6.5,819.1890095,APPLE,0.69,172.04000000000002,POTATO,0.445,0.5247285289349821,0.36810932156439546
30,78.12,49.75,44.17,25.91513406,6.5,819.1890095,APPLE,0.04,172.04000000000002,POTATO,0.445,0.039220713153281295,0.36810932156439546
7,78.12,49.75,44.17,25.91513406,6.5,819.1890095,APPLE,0.24,172.04000000000002,POTATO,0.24,0.2151113796169455,0.2151113796169455
0,78.12,49.75,44.17,25.91513406,6.5,819.1890095,APPLE,0.05,172.04000000000002,POTATO,0.33,0.04879016416943201,0.2851789422336624
5,78.12,49.75,44.17,25.91513406,6.5,819.1890095,APPLE,0.51,172.04000000000002,POTATO,0.42,0.412109650826833,0.35065687161316933
4,78.12,49.75,44.17,25.91513406,6.5,819.1890095,APPLE,0.29,172.04000000000002,POTATO,0.39,0.25464221837358075,0.3293037471426004
9,78.12,49.75,44.17,25.91513406,6.5,819.1890095,APPLE,0.21,172.04000000000002,POTATO,0.375,0.1906203596086497,0.3184537311185346
10,78.12,49.75,44.17,25.91513406,6.5,819.1890095,APPLE,0.49,172.04000000000002,POTATO,0.355,0.3987761199573678,0.3038014543316642
18,78.12,49.75,44.17,25.91513406,6.5,819.1890095,APPLE,0.4,172.04000000000002,POTATO,0.44,0.33647223662121295,0.36464311358790924
29,78.12,49.75,44.17,25.91513406,6.5,819.1890095,APPLE,0.5,172.04000000000002,ONION,0.5,0.4054651081081644,0.4054651081081644
27,78.12,49.75,44.17,25.91513406,6.5,819.1890095,APPLE,0.04,172.04000000000002,POTATO,0.45999999999999996,0.039220713153281295,0.37843643572024505
22,78.12,49.75,44.17,25.91513406,6.5,819.1890095,APPLE,0.46,172.04000000000002,POTATO,0.4,0.3784364357202451,0.33647223662121295
28,78.12,49.75,44.17,25.91513406,6.5,819.1890095,APPLE,0.5,172.04000000000002,BAJRA,0.5,0.4054651081081644,0.4054651081081644
13,78.12,49.75,44.17,25.91513406,6.5,819.1890095,APPLE,0.43,172.04000000000002,POTATO,0.4,0.3576744442718159,0.33647223662121295
26,78.12,49.75,44.17,25.91513406,6.5,819.1890095,APPLE,0.04,172.04000000000002,BAJRA,0.37,0.039220713153281295,0.31481073984003355
26,78.12,49.75,44.17,25.91513406,6.5,819.1890095,APPLE,0.35,172.04000000000002,BAJRA,0.37,0.30010459245033805,0.31481073984003355
5,78.12,49.75,44.17,25.91513406,6.5,819.1890095,APPLE,0.49,172.04000000000002,POTATO,0.42,0.3987761199573678,0.35065687161316933
21,78.12,49.75,44.17,25.91513406,6.5,819.1890095,APPLE,0.43,172.04000000000002,POTATO,0.365,0.3576744442718159,0.31115442863692305
21,78.12,49.75,44.17,25.91513406,6.5,819.1890095,APPLE,0.04,172.04000000000002,POTATO,0.365,0.039220713153281295,0.31115442863692305
4,78.12,49.75,44.17,25.91513406,6.5,819.1890095,APPLE,0.33,172.04000000000002,POTATO,0.39,0.2851789422336624,0.3293037471426004
18,78.12,49.75,44.17,25.91513406,6.5,819.1890095,APPLE,0.48,172.04000000000002,POTATO,0.44,0.3920420877760237,0.36464311358790924
18,78.12,49.75,44.17,25.91513406,6.5,819.1890095,APPLE,0.57,172.04000000000002,POTATO,0.44,0.4510756193602167,0.36464311358790924
15,78.12,49.75,44.17,25.91513406,6.5,819.1890095,APPLE,0.36,172.04000000000002,POTATO,0.31,0.3074846997479606,0.27002713721306015
19,78.12,49.75,44.17,25.91513406,6.5,819.1890095,APPLE,0.38,172.04000000000002,POTATO,0.44,0.32208349916911333,0.36464311358790924
7,78.12,49.75,44.17,25.91513406,6.5,819.1890095,APPLE,0.21,172.04000000000002,POTATO,0.24,0.1906203596086497,0.2151113796169455
22,78.12,49.75,44.17,25.91513406,6.5,819.1890095,APPLE,0.38,172.04000000000002,POTATO,0.4,0.32208349916911333,0.33647223662121295
30,78.12,49.75,44.17,25.91513406,6.5,819.1890095,APPLE,0.42,172.04000000000002,POTATO,0.445,0.35065687161316933,0.36810932156439546
4,78.12,49.75,44.17,25.91513406,6.5,819.1890095,APPLE,0.53,172.04000000000002,POTATO,0.39,0.4252677354043441,0.3293037471426004
0,78.12,49.75,44.17,25.91513406,6.5,819.1890095,APPLE,0.5,172.04000000000002,POTATO,0.33,0.4054651081081644,0.2851789422336624
